explainer,n_trees,max_depth,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,ext_min,ext_avg,ext_max
FACETBranchBound,5,3,20,20,6,0.7,0.6470588235294118,1.0,0.7857142857142858,0.51375110293266,0.5766666666666665,1.0,0.07147316808006246,1.85,0.016999483108520508,0.04500079154968262,27,47.1,85
FACETBranchBound,10,3,20,20,6,0.75,0.75,0.8181818181818182,0.7826086956521738,0.5771677518255587,0.5400000000000001,1.0,0.05162342733779231,1.3,0.0820000171661377,0.6030001640319824,296,713.1,1841
FACETBranchBound,15,3,20,20,6,0.7,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.6155540179276066,0.5258730158730158,1.0,0.10483475908539593,2.35,0.2259995937347412,4.231008529663086,3050,5083.9,11073
FACETBranchBound,20,3,20,20,6,0.75,0.6875,1.0,0.8148148148148148,0.5593453114338385,0.5121052631578948,1.0,0.08723721472186322,2.55,0.3319990634918213,42.286553144454956,15167,46720.25,96728
FACETBranchBound,5,3,20,20,6,0.75,0.7142857142857143,0.9090909090909091,0.8,0.7217359422898015,0.3883333333333333,1.0,0.08009996425525095,1.65,0.017000198364257812,0.06100153923034668,28,56.25,87
FACETBranchBound,10,3,20,20,6,0.75,0.7142857142857143,0.9090909090909091,0.8,0.4551819758862698,0.5062962962962965,1.0,0.06187062313237748,1.6,0.0820000171661377,0.44500160217285156,392,731.75,1545
FACETBranchBound,15,3,20,20,6,0.75,0.75,0.8181818181818182,0.7826086956521738,0.5245027068213345,0.49777777777777776,1.0,0.07888615831957509,2.2,0.16900038719177246,3.958008050918579,1254,5560.35,12387
FACETBranchBound,20,3,20,20,6,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.4836479615110988,0.519298245614035,1.0,0.0910636431161039,2.3,0.35199975967407227,69.23810648918152,23407,72692.95,163047
FACETBranchBound,5,3,20,20,6,0.75,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.37359410517258806,0.5066666666666666,1.0,0.07142887872496409,1.65,0.020000219345092773,0.04400014877319336,27,52.7,102
FACETBranchBound,10,3,20,20,6,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7538254568652178,0.5151851851851853,1.0,0.08828878059047571,2.7,0.0840001106262207,0.6462404727935791,371,987.55,1860
FACETBranchBound,15,3,20,20,6,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8414154806545182,0.6219047619047618,1.0,0.08695442585983795,1.85,0.2349996566772461,4.678000211715698,1358,6135.7,16115
FACETBranchBound,20,3,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,0.5683313297018476,0.4963157894736842,1.0,0.07889242930603675,2.45,0.33100008964538574,103.10992765426636,23922,102421.0,342107
FACETBranchBound,5,3,20,20,6,0.8,0.9,0.75,0.8181818181818182,0.38493866460463366,0.5033333333333333,1.0,0.05785400252112063,1.5,0.0189969539642334,0.04300117492675781,21,53.85,106
FACETBranchBound,10,3,20,20,6,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3792171143132838,0.4340740740740741,1.0,0.06503623989880941,1.9,0.06299996376037598,0.6480004787445068,479,866.4,1706
FACETBranchBound,15,3,20,20,6,0.9,0.8571428571428571,1.0,0.923076923076923,0.37348725813203876,0.5306349206349206,1.0,0.059089188280655146,2.15,0.20199966430664062,5.230999946594238,3297,7179.45,14123
FACETBranchBound,20,3,20,20,6,0.95,1.0,0.9166666666666666,0.9565217391304348,0.022329398899712135,0.5040350877192983,1.0,0.06333838301614828,2.3,0.31999945640563965,47.95465707778931,3031,54461.8,143831
FACETBranchBound,5,3,20,20,6,0.85,0.8125,1.0,0.896551724137931,0.7618132430550312,0.53,1.0,0.10728186975309247,2.1,0.024999141693115234,0.053002357482910156,17,48.4,134
FACETBranchBound,10,3,20,20,6,0.75,0.7222222222222222,1.0,0.8387096774193548,0.4299084798876569,0.5514814814814815,1.0,0.11805405799802111,2.0,0.08800125122070312,0.41443514823913574,202,608.75,1295
FACETBranchBound,15,3,20,20,6,0.7,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.45316561945592815,0.5234920634920635,1.0,0.10765601127600319,2.1,0.21200013160705566,3.552001714706421,1647,4189.15,10902
FACETBranchBound,20,3,20,20,6,0.75,0.7222222222222222,1.0,0.8387096774193548,0.38776178825527857,0.5352631578947368,1.0,0.1329007741876893,2.6,0.35900020599365234,44.98419237136841,9557,45643.45,120048
