explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.987388514,0.988412038,0.99764417,0.993006647,48,24.5,9.35,0.90616607,0.594780854,0.989100817,0.337964579,1.669421488,1.65500164,21,1831
GraphMerge,,0.987388514,0.988412038,0.99764417,0.993006647,48,24.5,9.35,0.90616607,0.594780854,1,0.117454119,1.455040872,1.095584154,21,1831
BestCandidate,,0.984112804,0.9865594,0.996166707,0.991339778,39.2,20.1,8.85,0.923504908,0.521748595,0.994550409,0.272654892,1.457534247,1.433986425,21,1831
GraphMerge,,0.984112804,0.9865594,0.996166707,0.991339778,39.2,20.1,8.85,0.923504908,0.521748595,1,0.157601214,1.659400545,0.984009743,21,1831
BestCandidate,,0.980047944,0.989855775,0.987775795,0.988814691,41.7,21.35,9.15,0.8958875,0.598869174,0.970027248,0.516121764,1.446629213,1.483945847,21,1831
GraphMerge,,0.980047944,0.989855775,0.987775795,0.988814691,41.7,21.35,9.15,0.8958875,0.598869174,1,0.119176499,1.460490463,1.052503109,21,1831
BestCandidate,,0.986986495,0.989374555,0.996134042,0.992742793,38.9,19.95,8.35,0.83636119,0.494889395,0.904632153,0.272299942,1.698795181,1.615000248,21,1831
GraphMerge,,0.986986495,0.989374555,0.996134042,0.992742793,38.9,19.95,8.35,0.83636119,0.494889395,1,0.100595845,1.302452316,1.008000374,21,1831
BestCandidate,,0.997156088,0.996914478,1,0.998454855,46.9,23.95,8.9,0.68046032,0.588671269,0.967302452,0.413077231,2.064788732,1.618456125,21,1831
GraphMerge,,0.997156088,0.996914478,1,0.998454855,46.9,23.95,8.9,0.68046032,0.588671269,1,0.062898469,1.144414169,0.99399972,21,1831
