explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
OCEAN,49097,9,1,1,1,1,35.5,18.25,8,0,0.708803258,1,1.131341748,2.4,2.890001535
GraphMerge,49097,9,1,1,1,1,35.5,18.25,8,0,0.708803258,1,0.001761045,1,1.004999876
OCEAN,49097,9,1,1,1,1,40.5,20.75,9.3,0,0.732017544,1,1.132215555,2.8,3.109000921
GraphMerge,49097,9,1,1,1,1,40.5,20.75,9.3,0,0.732017544,1,0.008248875,1.1,1.000999689
OCEAN,49097,9,1,1,1,1,42.1,21.55,9,0,0.765371763,0.9,1.131378595,3.111111111,3.386000395
GraphMerge,49097,9,1,1,1,1,42.1,21.55,9,0,0.765371763,1,0.023013972,1.9,1.002997637
OCEAN,49097,9,1,1,1,1,39.6,20.3,8.95,0,0.693744779,1,1.135748947,2.85,3.31499958
GraphMerge,49097,9,1,1,1,1,39.6,20.3,8.95,0,0.693744779,1,0.016488295,1.15,1.013999462
OCEAN,49097,9,1,1,1,1,35.2,18.1,8.85,0,0.705085631,1,1.132302824,2.8,2.709998131
GraphMerge,49097,9,1,1,1,1,35.2,18.1,8.85,0,0.705085631,1,0.016041569,1.6,0.991999626
BestCandidate,49097,9,1,1,1,1,35.5,18.25,8,0,0.708803258,1,0.008202787,1.35,0.087001801
BestCandidate,49097,9,1,1,1,1,40.5,20.75,9.3,0,0.732017544,1,0.017959256,1.55,0.097999573
BestCandidate,49097,9,1,1,1,1,42.1,21.55,9,0,0.765371763,1,0.019455188,1.65,0.088999987
BestCandidate,49097,9,1,1,1,1,39.6,20.3,8.95,0,0.693744779,1,0.038193522,1.7,0.084000826
BestCandidate,49097,9,1,1,1,1,35.2,18.1,8.85,0,0.705085631,1,0.017160385,1.65,0.078000307
