rf_ntrees, rf_maxdepth, avg_nnodes, avg_nleaves, avg_depth, init_time, clique_time, nkcliques 
1, 3, 15.0, 8.0, 3.0, 0.001998424530029297, 0.0009999275207519531, 16 
2, 3, 15.0, 8.0, 3.0, 0.003000497817993164, 0.0, 25 
3, 3, 15.0, 8.0, 3.0, 0.006000041961669922, 0.0, 79 
4, 3, 15.0, 8.0, 3.0, 0.011999845504760742, 0.0, 245 
5, 3, 15.0, 8.0, 3.0, 0.020999670028686523, 0.0009996891021728516, 668 
6, 3, 15.0, 8.0, 3.0, 0.03000354766845703, 0.002002239227294922, 1920 
7, 3, 15.0, 8.0, 3.0, 0.04700016975402832, 0.005001544952392578, 5133 
8, 3, 15.0, 8.0, 3.0, 0.08100032806396484, 0.030996322631835938, 26480 
9, 3, 15.0, 8.0, 3.0, 0.10500001907348633, 0.03899955749511719, 31285 
10, 3, 15.0, 8.0, 3.0, 0.20299983024597168, 0.12399983406066895, 101576 
11, 3, 14.818181818181818, 7.909090909090909, 3.0, 0.4179985523223877, 0.31599855422973633, 181966 
12, 3, 15.0, 8.0, 3.0, 0.9539988040924072, 0.7960004806518555, 520281 
13, 3, 15.0, 8.0, 3.0, 2.9729976654052734, 2.8209989070892334, 1477259 
14, 3, 15.0, 8.0, 3.0, 7.1640002727508545, 6.990000486373901, 3618017 
15, 3, 15.0, 8.0, 3.0, 31.424007892608643, 31.241000175476074, 10540356 
16, 3, 14.625, 7.8125, 3.0, 846.0744647979736, 845.8784642219543, 49057388 
