,difference,accuracy,precision,recall,f1,coverage_ratio,mean_distance,k
0,,0.9868421052631579,1.0,0.9861111111111112,0.993006993006993,0.03947368421052633,0.11794124098920668,1.0
1,,1.0,1.0,1.0,1.0,0.07894736842105265,1.7916159788311623,2.0
2,,1.0,1.0,1.0,1.0,0.0,,3.0
3,,1.0,1.0,1.0,1.0,0.06578947368421051,2.036084249314354,4.0
4,,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.14473684210526316,1.9618807613615532,5.0
5,,1.0,1.0,1.0,1.0,0.03947368421052633,2.647971947384493,6.0
6,,1.0,1.0,1.0,1.0,0.09210526315789469,2.385922949229917,7.0
7,,1.0,1.0,1.0,1.0,0.0,,8.0
8,,1.0,1.0,1.0,1.0,0.11842105263157898,2.4115282350707066,9.0
9,,1.0,1.0,1.0,1.0,0.0,,10.0
10,,1.0,1.0,1.0,1.0,0.052631578947368474,2.4410109966292666,12.0
11,,0.9868421052631579,1.0,0.9861111111111112,0.993006993006993,0.17105263157894735,1.0796944971536353,13.0
12,,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.1842105263157895,2.429952040825902,14.0
13,,1.0,1.0,1.0,1.0,0.0,,15.0
