,k,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,1.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.14473684210526316,0.2955214908590599
1,2.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.03947368421052633,1.2913660763801085
2,3.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.052631578947368474,1.0803079209586288
3,4.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
4,5.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
5,6.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
6,7.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
7,8.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
8,9.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.03947368421052633,1.1437161953827462
9,10.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.013157894736842146,0.8951090797527065
10,12.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
11,13.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
12,14.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.0,
13,15.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.03947368421052633,0.9970584370840015
