,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.9853426000178206,0.9853426000178206,1.0,0.9926171936359761,1.0,0.3610231616063739,0.9965546942291128
1,11.0,0.989671507915293,0.989671507915293,1.0,0.9948089460779741,1.0,0.2011818212371048,1.8837209302325582
2,21.0,0.9985639609136,0.9985424410419662,1.0,0.9992706890141028,1.0,0.2624604066728282,3.356589147286822
3,31.0,0.9971353470551546,0.9971169539250677,1.0,0.9985563959740735,1.0,0.0,0.0
4,41.0,0.999156494104369,0.9991490458226839,1.0,0.9995743418035318,1.0,0.0,0.0
5,51.0,0.9989381924025068,0.9989281099054638,1.0,0.9994637675616124,1.0,0.49503896458730884,3.012919896640827
6,61.0,0.9976655083311058,0.9976473827881807,1.0,0.9988223060625766,1.0,0.0,0.0
7,71.0,1.0,1.0,1.0,1.0,1.0,0.21386355057191858,1.442721791559001
8,81.0,1.0,1.0,1.0,1.0,1.0,0.24317113358548795,1.3281653746770026
9,91.0,0.9982966527072381,0.9982832039873972,1.0,0.9991408645135099,1.0,0.3179637460651305,1.37984496124031
