,difference,accuracy,precision,recall,f1,conversion_rate,mean_distance
0,0.01,0.9986744432661718,0.9994562262098967,0.9991845610220168,0.9993203751529157,1.0,0.08643495860107488
1,0.1,0.9989395546129375,0.9991850040749797,0.9997281870073389,0.9994565217391305,1.0,0.0891672561961499
2,0.2,0.9989395546129375,0.9994563740146779,0.9994563740146779,0.9994563740146779,1.0,0.08774801677507961
3,0.3,0.999204665959703,0.9997281131049484,0.9994563740146779,0.9995922250917494,1.0,0.10618483979329252
4,0.4,0.9981442205726405,0.9986420423682781,0.9994563740146779,0.9990490422496944,1.0,0.10885664136262875
5,0.5,0.999204665959703,0.9991852254209669,1.0,0.9995924466784404,1.0,0.10931141157525438
6,0.6,0.999204665959703,1.0,0.9991845610220168,0.9995921142080216,1.0,0.09655101704522749
7,0.7,0.9984093319194062,0.9991845610220168,0.9991845610220168,0.9991845610220168,1.0,0.12212241919531026
8,0.8,0.9997348886532343,0.9997282608695652,1.0,0.9998641119717353,1.0,0.1100319134396707
9,0.9,0.9994697773064687,0.9997281870073389,0.9997281870073389,0.9997281870073389,1.0,0.11718373988169195
10,1.0,0.9986744432661718,0.9991847826086957,0.9994563740146779,0.9993205598586765,1.0,0.11121296644796937
